현황별(1),현황별(2),2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
현황별(1),현황별(2),전체,서울,부산,인천,대구,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
전체,소계,1168,285,10,35,20,9,91,12,8,375,48,90,46,36,37,29,29,8
주력업종별,바이오 의약,401,140,2,14,5,1,29,1,2,133,12,28,13,1,4,11,4,1
주력업종별,바이오 화학·에너지,206,26,1,5,8,1,19,7,2,50,11,16,11,12,14,9,12,2
주력업종별,바이오 식품,172,16,3,1,3,2,6,0,3,48,11,23,15,15,9,2,10,5
주력업종별,바이오 환경,52,4,4,4,2,2,3,2,0,15,3,2,0,2,6,2,1,0
주력업종별,바이오 의료기기,138,36,0,4,0,1,12,0,0,55,8,10,5,1,2,3,1,0
주력업종별,바이오 장비 및 기기,54,10,0,1,0,0,9,1,1,27,1,2,1,0,0,1,0,0
주력업종별,바이오 자원,18,2,0,0,0,0,2,0,0,6,0,3,0,1,2,1,1,0
주력업종별,바이오 서비스,127,51,0,6,2,2,11,1,0,41,2,6,1,4,0,0,0,0
